geoid,month,pm25_median,pm25_mean,n_obs
24023,2018-02-01,3.9083335,4.649844714285714,56
24023,2018-03-01,4.416667,4.67974249122807,57
24023,2018-04-01,5.3666665,5.8934486,60
24023,2018-05-01,9.439130500000001,8.744581911764707,34
24023,2018-06-01,6.6125,7.209025037037037,54
24023,2018-07-01,6.5,6.601956290322581,62
24023,2018-08-01,7.956522,8.171086981818181,55
24023,2018-09-01,3.3,3.526674320754717,53
24023,2018-10-01,2.3541665,3.035729306451613,62
24023,2018-11-01,3.5916665,4.1083055,54
24023,2018-12-01,6.0416665,6.884502112903226,62
24023,2019-01-01,5.5,6.055048548387097,62
24023,2019-02-01,6.225,6.556702875,56
24023,2019-03-01,6.5208335,7.1659481,60
24023,2019-04-01,4.8958335,5.129645366666667,60
24023,2019-05-01,5.8375,5.986931214285714,56
24023,2019-06-01,4.75,5.325911816666666,60
24023,2019-07-01,5.8,6.551648,62
24023,2019-08-01,5.4291665,5.438569467741935,62
24023,2019-09-01,5.1,5.6462187,60
24023,2019-10-01,3.166667,3.651788409836066,61
24023,2019-11-01,4.5,5.031747271186441,59
24023,2019-12-01,3.708333,4.605603081967213,61
24023,2024-01-01,2.6333335,2.8622975967741935,62
24023,2024-02-01,4.727273,5.154213210526315,57
24023,2024-03-01,2.5416665,3.9858748709677423,62
24023,2024-04-01,3.9772724999999998,3.9859848666666666,60
24023,2024-05-01,3.555556,3.561840716981132,53
24023,2024-06-01,6.1,7.3028512545454545,55
24023,2024-07-01,6.8166665,6.29943734375,32
24023,2024-08-01,5.4291665,6.426869483870968,62
24023,2024-09-01,4.1,3.9227705333333334,60
24023,2024-10-01,4.3833335,4.509500568965517,58
24023,2024-11-01,4.0,4.241629333333334,54
24023,2024-12-01,4.8166665,5.23286285483871,62
24025,2018-01-01,8.369565,8.925690116666667,60
24025,2018-02-01,5.0916665,6.302807892857143,56
24025,2018-03-01,5.083333,5.650932870967742,62
24025,2018-04-01,4.7958335000000005,5.595513266666667,60
24025,2018-05-01,7.7,7.216477087719299,57
24025,2018-06-01,7.875,8.706229949152542,59
24025,2018-07-01,6.9083335,7.321631306451613,62
24025,2018-08-01,7.3,7.264347163934426,61
24025,2018-09-01,3.7041665000000004,4.355585733333333,60
24025,2018-10-01,5.9291665,6.2551389,60
24025,2018-11-01,6.7625,6.596625519230769,52
24025,2018-12-01,7.725,8.714516112903224,62
24025,2019-01-01,6.1125,7.085912580645161,62
24025,2019-02-01,6.6125,9.224662410714286,56
24025,2019-03-01,7.2,7.304616677419355,62
24025,2019-04-01,3.6625,4.1747535,60
24025,2019-05-01,4.8333335,5.1278582777777775,54
24025,2019-06-01,6.0958335,6.841570066666667,60
24025,2019-07-01,8.1125,8.175318903225806,62
24025,2019-08-01,6.8,6.796385639344262,61
24025,2019-09-01,5.7958335000000005,6.046865933333334,60
24025,2019-10-01,4.2,5.099366145161291,62
24025,2019-11-01,8.5326085,8.71294268,50
24025,2019-12-01,7.2041664999999995,10.214367887096774,62
24025,2024-01-01,5.5,6.893549967213115,61
24025,2024-02-01,8.0416665,7.724784155172414,58
24025,2024-03-01,4.25,4.1879887419354835,62
24025,2024-04-01,3.609524,4.18876225,60
24025,2024-05-01,4.2,4.638449859649123,57
24025,2024-06-01,6.1,6.351467890909091,55
24025,2024-07-01,6.0,6.350129177419355,62
24025,2024-08-01,6.0,6.134505016129032,62
24025,2024-09-01,3.2,3.0301515166666664,60
24025,2024-10-01,6.541667,6.497709829787234,47
24025,2024-11-01,5.5291665,6.812320516666667,60
24025,2024-12-01,6.9375,8.235117266666666,60
24027,2018-01-01,9.3166665,10.710821725806452,62
24027,2018-02-01,8.359091,9.461183053571428,56
24027,2018-03-01,6.583333,7.33516093442623,61
24027,2018-04-01,6.7958335000000005,7.305803116666667,60
24027,2018-05-01,7.021739,7.7101704444444445,54
24027,2018-06-01,9.0208335,9.327754716666668,60
24027,2018-07-01,8.922222000000001,9.087575596774192,62
24027,2018-08-01,9.5108695,9.610220951612904,62
24027,2018-09-01,8.8333335,8.8993901,60
24027,2018-10-01,11.2041665,11.204166629032258,62
24027,2018-11-01,10.158333500000001,11.327798125000001,48
24027,2018-12-01,6.6333335,8.20228491935484,62
24027,2019-01-01,7.0,6.8273785,62
24027,2019-02-01,6.9125,8.423847357142858,56
24027,2019-03-01,7.0,6.466169451612903,62
24027,2019-04-01,4.2625,4.4400972,60
24027,2019-05-01,7.35,6.841195629629629,54
24027,2019-06-01,7.2541665,7.704414283333334,60
24027,2019-07-01,9.1125,9.583683967741935,62
24027,2019-08-01,8.021739,8.71062412903226,62
24027,2019-09-01,7.572727499999999,7.407883166666666,60
24027,2019-10-01,5.1,5.408537838709678,62
24027,2019-11-01,7.2,7.8790593518518515,54
24027,2019-12-01,7.638586999999999,10.025596048387097,62
24027,2024-01-01,6.7,7.502431612903226,62
24027,2024-02-01,6.7041664999999995,7.5549043448275865,58
24027,2024-03-01,4.3375,4.748044951612903,62
24027,2024-04-01,5.125,5.481308864406779,59
24027,2024-05-01,7.4,6.999540491803279,61
24027,2024-06-01,9.041667,8.946153846153846,13
24027,2024-07-01,8.2,8.991178,13
24027,2024-08-01,8.0,7.857930080645161,62
24027,2024-09-01,4.775,5.014671699999999,60
24027,2024-10-01,6.4,6.513280887096775,62
24027,2024-11-01,5.859091,5.54652074074074,54
24027,2024-12-01,7.302174,7.701353096774194,62
24029,2018-01-01,8.408333500000001,7.758198935483871,62
24029,2018-02-01,8.0,8.18889301724138,58
24029,2018-03-01,6.4891305,6.757336578125,64
24029,2018-04-01,6.4,6.823122350877194,57
24029,2018-05-01,6.4875,6.8520315357142865,56
24029,2018-06-01,6.0634055,6.738414033333333,60
24029,2018-07-01,6.6125,6.856235370967742,62
24029,2018-08-01,6.9083335,7.421399645161291,62
24029,2018-09-01,3.445652,4.076957616666666,60
24029,2018-10-01,5.0833335,5.0801032,60
24029,2018-11-01,5.4375,6.024712314814815,54
24029,2018-12-01,5.5416665,7.272188580645161,62
24029,2019-01-01,5.3375,6.3702839838709675,62
24029,2019-02-01,5.8413045,7.550653482142857,56
24029,2019-03-01,6.1125,6.163172048387097,62
24029,2019-04-01,3.9791665,4.700042633333334,60
24029,2019-05-01,5.0,5.359148518518519,54
24029,2019-06-01,6.0083335,6.398387733333333,60
24029,2019-07-01,8.133333499999999,8.461705258064516,62
24029,2019-08-01,6.3,6.433751803278689,61
24029,2019-09-01,4.2,4.467365945454546,55
24029,2019-10-01,2.5625,3.0650946774193546,62
24029,2019-11-01,5.4934785,5.632566433333333,60
24029,2019-12-01,5.6125,7.0557031666666665,54
24029,2024-01-01,3.4173915,4.131858370967742,62
24029,2024-02-01,5.0,6.10195924137931,58
24029,2024-03-01,3.725,4.893452403225806,62
24029,2024-04-01,3.875,4.4254040833333335,60
24029,2024-05-01,4.3,4.7721137213114755,61
24029,2024-06-01,4.8,5.108540945454546,55
24029,2024-07-01,4.4083335,4.977443806451613,62
24029,2024-08-01,4.6125,5.146322080645161,62
24029,2024-09-01,1.8875,1.7334321499999998,60
24029,2024-10-01,3.2291665,3.962025483870968,62
24029,2024-11-01,4.2541665,4.289562314814815,54
24029,2024-12-01,4.5625,5.044841983870968,62
24031,2018-01-01,8.541667,9.59982775409836,61
24031,2018-02-01,7.75,8.806183878048781,41
